track_id,explicit,energy,mode,instrumentalness,liveness,valence,popularity_norm,duration_ms_norm,danceability_norm,key_norm,loudness_norm,speechiness_norm,acousticness_norm,tempo_norm,time_signature_norm,col1|activation,col1|amazement,col1|calmness,col1|joyful,col1|nostalgia,col1|power,col1|sadness,col1|solemnity,col1|tenderness,col1|tension,col1|country,col1|hip,col1|hop,col1|reggae,col1|rock
0,0Z44FoBocXlcWS70n2vtcB,0,0.365,1,0.00515,0.177,0.667,0.16,0.0314857542194787,0.5035317860746721,0.6363636363636364,0.7195912873225648,0.0418125643666323,0.5090361445783133,0.3566143493207674,0.8,0.0,0.0,0.0,0.0,0.7198508965938832,0.0,0.0,0.0,0.6941287248579923,0.0,1.0,0.0,0.0,0.0,0.0
1,1UN6NjkwkztYxl6XzIp0pJ,0,0.366,1,0.00586,0.181,0.689,0.51,0.0315473433544433,0.4813319878910191,0.6363636363636364,0.7154460352422907,0.0446961894953656,0.5441767068273093,0.3578969157524322,0.8,0.0,0.0,0.0,0.0,0.7198508965938832,0.0,0.0,0.0,0.6941287248579923,0.0,1.0,0.0,0.0,0.0,0.0
2,6WJ9cUB9mgx7CAzIghmPLP,0,0.365,1,0.00515,0.177,0.667,0.1,0.0314857542194787,0.5035317860746721,0.6363636363636364,0.7195912873225648,0.0418125643666323,0.5090361445783133,0.3566143493207674,0.8,0.0,0.0,0.0,0.0,0.7198508965938832,0.0,0.0,0.0,0.6941287248579923,0.0,1.0,0.0,0.0,0.0,0.0
3,1XCtquImTMy9aYF7N6Asnq,0,0.54,1,7.51e-05,0.0868,0.79,0.19,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
4,0Avmi9t3sOcaGSs1DSbgDg,0,0.54,1,7.51e-05,0.0868,0.79,0.55,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
5,5dn2HlpOE8rLLtBPqhwX1y,0,0.54,1,7.51e-05,0.0868,0.79,0.22,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
6,0LTSNmOLBt25GMjHlxp9OR,0,0.527,1,0.0784,0.278,0.777,0.58,0.0271091875681085,0.6952573158425832,0.4545454545454546,0.7658162016642193,0.0323377960865087,0.1947791164658634,0.4485694919656954,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
7,78tzpjeZDPIErwBndXq3Zo,0,0.407,1,0.000967,0.0899,0.79,0.01,0.0293093081119298,0.7537840565085772,0.4545454545454546,0.7312622369065099,0.0282183316168898,0.7891566265060241,0.4126211030883063,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
8,1cRtV2ocYQg2hDH0nESOBL,0,0.54,1,7.51e-05,0.0868,0.79,0.11,0.0294079219291853,0.7608476286579212,0.4545454545454546,0.790412383749388,0.027394438722966,0.6937751004016064,0.4129295684326308,0.8,0.0,0.0,0.7412787789526069,0.0,0.0,0.0,0.46177308055588906,0.0,0.0,0.48710511591283523,1.0,0.0,0.0,0.0,0.0
9,4WlZJ2QfxoOkT3mg58jT0Z,0,0.49,1,7.56e-05,0.106,0.9,0.17,0.0255660771316693,0.8819374369323915,0.4545454545454546,0.7795980176211453,0.0642636457260556,0.7279116465863454,0.4206858483405782,0.8,0.0,0.0,0.0,0.0,0.5105528479894715,0.5417095809817942,0.45112961215332986,0.0,0.492309447726483,0.0,1.0,0.0,0.0,0.0,0.0
10,6VKv0eIRmHYlXbgWGq0DVP,0,0.49,1,7.56e-05,0.106,0.9,0.37,0.0255660771316693,0.8819374369323915,0.4545454545454546,0.7795980176211453,0.0642636457260556,0.7279116465863454,0.4206858483405782,0.8,0.0,0.0,0.0,0.0,0.5105528479894715,0.5417095809817942,0.45112961215332986,0.0,0.492309447726483,0.0,1.0,0.0,0.0,0.0,0.0
11,48Ijdti1gurgawNVzbhDxb,0,0.49,1,7.56e-05,0.106,0.9,0.12,0.0255660771316693,0.8819374369323915,0.4545454545454546,0.7795980176211453,0.0642636457260556,0.7279116465863454,0.4206858483405782,0.8,0.0,0.0,0.0,0.0,0.5105528479894715,0.5417095809817942,0.45112961215332986,0.0,0.492309447726483,0.0,1.0,0.0,0.0,0.0,0.0
12,6qfYzFbAWN4LRj17G4FiQR,0,0.49,1,7.56e-05,0.106,0.9,0.17,0.0255660771316693,0.8819374369323915,0.4545454545454546,0.7795980176211453,0.0642636457260556,0.7279116465863454,0.4206858483405782,0.8,0.0,0.0,0.0,0.0,0.5105528479894715,0.5417095809817942,0.45112961215332986,0.0,0.492309447726483,0.0,1.0,0.0,0.0,0.0,0.0
13,47gmoUrZV3w20JAnQOZMcO,0,0.66,1,1.66e-06,0.138,0.962,0.63,0.0206227480360008,0.562058526740666,0.1818181818181818,0.7998959862946646,0.0576725025746652,0.6566265060240964,0.3866044865472581,0.8,0.41475937336375224,0.5293314095627816,0.0,0.41475937336375224,0.0,0.38033285217564944,0.0,0.0,0.34564915035742166,0.3341125105068979,0.0,0.0,0.0,0.0,1.0
14,4yT1gUhQM0wklnaDQWeXs2,0,0.698,1,0.000264,0.26,0.963,0.29,0.0221441420722501,0.5186680121089808,0.8181818181818182,0.7859153206069505,0.0600411946446961,0.8032128514056226,0.3713598045303818,0.8,0.41475937336375224,0.5293314095627816,0.0,0.41475937336375224,0.0,0.38033285217564944,0.0,0.0,0.34564915035742166,0.3341125105068979,0.0,0.0,0.0,0.0,1.0
15,3QiAAp20rPC3dcAtKtMaqQ,0,0.27,1,0.00104,0.145,0.58,0.58,0.0223979747498786,0.4692230070635722,0.3636363636363636,0.6629191140479687,0.0437693099897013,0.9036144578313252,0.3836253607218089,0.8,0.0,0.0,0.0,0.0,0.6143477579989125,0.0,0.5428438346484994,0.0,0.0,0.5726232648310947,0.0,0.0,0.0,0.0,1.0
16,64Ny7djQ6rNJspquof2KoX,0,0.756,1,0.00505,0.76,0.95,0.6900000000000001,0.0236180092326741,0.3602421796165489,0.0,0.787873225648556,0.0639546858908342,0.7359437751004017,0.7094581156826216,0.8,0.0,0.0,0.0,0.0,0.0,0.5745568242494861,0.0,0.644304926335649,0.0,0.50473321429044,0.0,0.0,0.0,0.0,1.0
