,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels,Labels_list
8056,2OY17ER3xSmNXjGsqWzgn7,Cherish,55,290600,0,Kool & The Gang,['3VNITwohbvU5Wuy5PC6dsI'],1984-11-15 00:00:00,0.562,0.249,1,-18.652,1,0.0253,0.375,0.0,0.352,0.31,95.283,4,tenderness,['tenderness']
8057,3BGbqEDio3ocx1v4egIYr6,Walk Like an Egyptian,61,204560,0,The Bangles,['51l0uqRxGaczYr4271pVIC'],1985-07-11 00:00:00,0.711,0.788,11,-14.705,1,0.0825,0.0117,2.05e-06,0.311,0.757,103.172,4,joyful activation,['joyful activation']
8058,4umQbcdBF3YVsNBvvnFLiX,A Good Heart,61,281800,0,Feargal Sharkey,['3zk5lgbVEre0rKRBqiKt0T'],1985-01-01 00:00:00,0.653,0.884,10,-10.224,1,0.0444,0.417,0.0,0.318,0.762,104.647,4,"nostalgia, tenderness, sadness","['nostalgia', 'tenderness', 'sadness']"
8059,6a0lr0jt8lKDJhsAYA49NS,Jeanny,61,355989,0,Falco,['0hLd40hVpRDGENe4KGZLnW'],1985-02-19 00:00:00,0.648,0.659,9,-10.456,0,0.0456,0.451,0.0,0.189,0.465,105.914,4,"tenderness, sadness","['tenderness', 'sadness']"
8060,55mXuPsEm6aboDIM68RM74,Je te donne,60,265400,0,"Jean-Jacques Goldman, Michael Jones","['2Cx19OTMqa6gpz2l60cGG2', '0AF8vOjsrk66ofuPhHCKqW']",1985-09-13 00:00:00,0.459,0.776,0,-5.385,1,0.0359,0.287,0.0,0.159,0.749,122.004,4,"tenderness, sadness","['tenderness', 'sadness']"
8061,0qH487xSz8Z6Xk4kyOQkbG,Dirty Old Town,60,225426,0,The Pogues,['2wzMOQwNT6ZvVB4amvhFAH'],1985,0.511,0.464,7,-10.765,1,0.0383,0.256,4.2e-06,0.132,0.289,123.412,4,tenderness,['tenderness']
8062,0HzjKCZmFhwcO2vnnHpj9q,Sara,60,292800,0,Starship,['0kObWap02DEg9EAJ3PBxzf'],1985-09-10 00:00:00,0.642,0.805,10,-5.675,1,0.0336,0.352,1.02e-06,0.118,0.365,100.273,4,"tenderness, sadness","['tenderness', 'sadness']"
8063,3iC3Numiy9P3AkF7iioKmx,Wild Child,60,312400,1,W.A.S.P.,['3BVkDHWRvLJEyKdvhLbjsq'],1985,0.372,0.857,5,-7.816,0,0.0461,0.0608,9.01e-05,0.187,0.389,146.08,4,"tenderness, sadness","['tenderness', 'sadness']"
8064,5WeBnrDPyLhxruxVryHCkn,La Bestia Pop,60,247067,0,Patricio Rey y sus Redonditos de Ricota,['6byQKddO1b34lXC2ZEjehQ'],1985-04-22 00:00:00,0.641,0.677,7,-10.142,1,0.0327,0.0506,0.112,0.0687,0.896,120.666,4,tension,['tension']
8065,3ZI3sK9ZJB3LOiZtCs9l3p,Every Time You Go Away,60,324347,0,Paul Young,['6rqU9HQ57NYGBnBzbrY3a4'],1985-12-17 00:00:00,0.608,0.604,5,-12.285,1,0.0433,0.169,0.000133,0.106,0.673,164.254,4,sadness,['sadness']
8066,1it9umP1j9qSqzKbSLLqqy,Chain Reaction,60,230533,0,Diana Ross,['3MdG05syQeRYPPcClLaUGl'],1985-09-24 00:00:00,0.794,0.55,11,-12.988,1,0.0367,0.155,0.000271,0.113,0.744,127.736,4,tenderness,['tenderness']
