,track_id,explicit,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms_norm,danceability_norm,energy_norm,key_norm,loudness_norm,tempo_norm,time_signature_norm,col1|activation,col1|amazement,col1|joyful,col1|nostalgia,col1|power,col1|sadness,col1|solemnity,col1|tenderness,col1|tension
0,5noY3HlTIAG7zWTvo5Esuw,0,0,0.0622,0.981,2.09e-05,0.134,0.686,0.06421061594241766,0.7346938775510204,0.173,0.6363636363636364,0.7744997857401853,0.4272912993086529,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,5smDXG2qVnai0gT6LV5ykD,0,1,0.0686,0.912,2.2e-06,0.12,0.628,0.054471535994336163,0.6979591836734694,0.26,0.4545454545454546,0.7458219336124206,0.6078848746961546,0.8,0.0,0.0,0.0,0.6717410582375821,0.5082870448284441,0.3662061768565172,0.0,0.0,0.39534955010667927
2,5zpu9719Lmw6oxA6lYafPV,0,0,0.0349,0.926,0.0,0.214,0.457,0.047002885553994185,0.6857142857142857,0.154,0.4545454545454546,0.7541451033391569,0.39374315079304234,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,60iiYgEUnphcbXi4za4Fn7,0,0,0.0331,0.933,0.199,0.202,0.182,0.07722544329189149,0.42244897959183675,0.216,0.0,0.7086890595642286,0.5389711420080183,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.6795496683616639,0.0,0.0,0.7336295033799775
4,64CzEQH3WDItM71YcZojYP,0,1,0.0556,0.924,0.952,0.212,0.855,0.05794439140555442,0.5214285714285715,0.324,0.2727272727272727,0.8064409796617991,0.8104004221140881,0.6000000000000001,0.0,0.0,0.0,0.0,0.7893407916394196,0.0,0.0,0.0,0.6139553034660212
5,659duflA1LthK15gcUyYxa,0,1,0.0477,0.87,0.0,0.232,0.629,0.056384623429840276,0.7397959183673469,0.167,0.0,0.7442726703365528,0.43760062415160034,0.8,0.0,0.0,0.0,0.0,0.0,0.5378445297959634,0.0,0.8430440449754443,0.0
6,67BGtcJJyPulMsTBQ0LJIW,0,1,0.0819,0.953,0.0,0.125,0.543,0.0532067595979533,0.6142857142857143,0.13,0.9090909090909092,0.7448165606355276,0.45749771129380673,0.8,0.0,0.0,0.0,0.6717410582375821,0.5082870448284441,0.3662061768565172,0.0,0.0,0.39534955010667927
7,67UYmYAY0mnktdAxGjPI1V,0,1,0.0372,0.96,0.151,0.69,0.296,0.06727986923827811,0.36326530612244895,0.319,0.4545454545454546,0.8313940073177968,0.45689340266346773,0.8,0.0,0.0,0.0,0.0,0.7893407916394196,0.0,0.0,0.0,0.6139553034660212
8,69vS2obN7I9dmpJz83oIGo,0,1,0.038,0.604,0.0,0.115,0.878,0.06149334123553201,0.6510204081632653,0.442,0.6363636363636364,0.8858984078847612,0.5978957432319688,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,6C0oGIzjcRnK3t6zIe1q3F,0,1,0.0389,0.958,7.95e-06,0.126,0.0721,0.05084582131019169,0.3448979591836735,0.225,0.9090909090909092,0.7691432903714935,0.566052286225822,0.6000000000000001,0.0,0.0,0.0,0.0,0.7893407916394196,0.0,0.0,0.0,0.6139553034660212
